LANGUAGE,Srpski
loginname,Korisničko Ime 
password,Lozinka
language,Jezik
server,Server
description,Opis
players,Igrač
alive,Alive
save_login_info,Sačuvaj login info
login,Login
lobby,Glavni Hol
refresh,Refresh Liste
wait,Napravi Tablu
stop,Zatvori Tablu
challenge,Izazovi
options,Opcije
search,Pretraga
mute,Mutiraj
leave,Napusti Računar
logout,Log Out
back_to_game,Nazad na partiju
status_short,Stat
title,Titula
rank,Rang
name,Ime
country,Zemlja
rate,Rejting
waiter,Igrač Čeka
country_short,Zmlj
thinking_time,Vreme
handicap,Hendikep
black,Crni
white,Beli
rule,Pravilo
game_status,Status
monitor,Mon
opening_short,Otv
watch,Gledaj Partiju
view_as,Vidi kao:
chat,Ćaskanje
auto_scroll,Auto-skrol
resign,Predaj
impasse,Ćorsokak?
flip,Okreni Tablu
close_game,Izađi
rematch,Revanš
voice,Glasovni chat
voice_direct,Analiza odigrane partije (Direktna)
voice_shared,Analiza odigrane partije (Javna)
voice_broadcast,Pridruži se emitovanju
voice_listen,Slušaj
voice_off,Zatvori konekciju 
status_tip_self,Ja
status_tip_direct,Korišćenje DIREKTNOG glasovnog ćaskanja
status_tip_shared,Korišćenje JAVNOG glasovnog ćaskanja
status_tip_broadcast,Emitovanje
status_tip_listen,Slušanje vašeg javnog glasovnog ćaskanja
status_tip_host,Domaćin moda proučavanja
clear_arrows,Obriši strelice
arrow,Strelica
clear,Obriši
greet,Pozdravi
check_lobby,Proveri Hol
stat_m,Posmatra
stat_w,Čeka
stat_p,Odigrana partija
stat_g,Igra
stat_g1,počelo
stat_g2,otvaranje
stat_g3,središnjica
stat_g4,sredina/kraj
stat_g5,završnica
stat_d,Izgubljena konekcija
watchers,Posmatrači
allow_chat,Vidi ćaskanje posmatrača
kifu,Kifu
copy,Kopiraj u Clipboard kao KIF
save,Sačuvaj kao KIF
replay,Premotaj/analiziraj lokalno
listen,Prati najnoviju poziciju
replay_tip,Premoravajte/analizirajte samo na sopstvenom PC-u. Tabla se ne deli osim ako ste domaćin završne diskusije.
listen_tip,Najnovija pozicija je prikazana kada gledate; i domaćinova tabla je prikazana nakon završene partije. Strelice se takođe dele.
kifu_search,Pretraga Kifua
share,Šeruj Kifu
close,Zatvori
result,Rezultat
opening,Otvaranje
moves,Broj Poteza
game_date,Datum
player_search,Pretraga Igrača
win,Pobeda
loss,Poraz
draw,Remi
total,Ukupno
percentage_short,%-pobeda
streak_short,Niz
signed_up,Registrovao se
last_updated,Poslednja aktivnost
view_rankings,Prikaži rangove 
streak,Najbolji Niz 
percentage,% Pobeda
wins,Pobede
total_games,Ukupno Partija
accept,Prihvati
reject,Odbij
invitation,Pozivnica
set_autoreply,Podesi auto-reply poruku
will_be_back_in,Vratiću se za
hours,sati
minutes,minuta
message,poruka
cancel,Poništi
pieces,Figure
blind_piece,Slepa Figura
op_grab,Podigni figuru prilikom pomeranja
op_highlight,Označi dozvoljena polja
sound,Zvuk
sound_piece,zvuk figure
sound_end,zvuk kraja partije
sound_chat,zvuk poruke na ćaskanju
sound_byoyomi,zvuk byoyomi-ja
byoyomi_chime,Zvono
byoyomi_jp,Japanski
game_room,Soba sa Tablom
pm,Privatna Poruka
communication,Komunikacija
notation,Stil Notacije
notation_uni,Univerzalni
notation_jp,Japanski
notation_west,Zapadni
pm_auto,Automatski otvori prozor pri prijemu
arrow_accept,Vidi strelice ostalih posmatrača
arrow_color,Tvoja boja
remove,Ukloni
save_settings,Sačuvaj podešavanja na server
win_small,pobeda
loss_small,poraz
current,Trenutni
invite,Pozovi
detail,Detalji
favorite,Omiljeni
ignore,Blokiraj
allow,Daj Study-mode prava
give_host,Predaj status domaćina
give_subhost,Dozvoli status pod-domaćina
set_rate,Postavi Rejting
rated,Rangirano
nonrated,Nerangirano
min,min
sec,sek
hc_even,Normalna Partija
hc_fixed,Fiksirani crni
hc_lance,Koplje Fore
hc_bishop,Lovac Fore
hc_rook,Top Fore
hc_rooklance,Top i Koplje Fore
hc_rooksilver,Top i Srebrni Fore
hc_2p,2 Figure Fore
hc_4p,4 Figure Fore
hc_6p,6 Figura Fore
hc_8p,8 Figura Fore
hc_tombo,Vilin konjic
hc_10p,10 Figura Fore
hc_3pawns,Tri Pešaka
hc_naked,Goli Kralj
hc_openair,Open-air Šogi
hc_mini,Mini Šogi
hc_56,GoroGoro Šogi
hc_33,3x3 Šogi
tournament,Zvanični Turnir
study_room,Soba za proučavanje
load_kifu,Učitaj
comment,Komentar
declare,Proglasi Pobedu
entered_impasse,Ušao
pieces_impasse,Figure
points_impasse,Poeni
error,Greška
tendency,Tendencije
rate_history,Istorija Rejtinga
data_table,Tabela sa podacima
status,Status
