LANGUAGE,Українська
loginname,Логін
password,Пароль
language,Мова
save_login_info,Запам'ятати мене
login,Увійти
lobby,Ігровий зал
refresh,Оновити
wait,Чекати гру
stop,Відпочивати
challenge,Запропонувати гру
options,Настройки
search,Пошук
mute,Без звуку
leave,Відійти
logout,Вийти
back_to_game,Повернутися до гри
status_short,Стан
title,Титул
rank,Розряд
name,Ім'я
country,Країна
rate,Рейтинг
waiter,Waiting Player
country_short,Країна
thinking_time,Час
handicap,Гандикап
black,Чорні
white,Білі
rule,Регл.
status,Статус
monitor,Спост-чі
opening_short,Деб.
watch,Watch Game
view_as,View as:
chat,Чат
auto_scroll,Автопрокрутка
resign,Здатися
impasse,Імпасс?
close_game,Закрити
greet,Greet
check_lobby,До гри
watchers,Спост-чі
kifu,Запис
copy,Скопіювати
save,Зберегти
replay,Перегл. 
listen,Слух.
search_panel,Панель пошуку
kifu_search,Пошук партій
search,Пошук
share,Share
close_search,Закрити
result,Результат
opening,Дебют
moves,Ходів
game_date,Дата
player_search,Пошук гравця
win,Пер.
loss,Пор.
total,Всього
percentage_short,% перемог
streak_short,Краща серія
signed_up,Дата рег.
last_updated,Ост. онов.
view_rankings,Рейтинги
streak,Найкраща серія
percentage,% перемог
wins,К-сть перемог
total_games,Всього ігор
accept,Грати
reject,Відмовитися
invitation,Invitation
set_autoreply,Настройка автоповідомлення
will_be_back_in,Повернутись через
hours,год(ин)
minutes,хвилин
message,Повідомлення
cancel,Відміна
sound,Звук
blind_piece,Грати "в сліпу"
save_settings,Зберегти настройки на сервері
win_small,пер.
loss_small,пораз.
current,Поточно серія
invite,Invite
ignore,Ignore
rated,на рейтинг
nonrated,без рейтингу
error,Error
