LANGUAGE,繁體中文
loginname,登入名稱
password,密碼
language,語言
save_login_info,保存登入資訊
login,登入
lobby,大廳
refresh,更新
wait,等待對局
stop,停止等待
challenge,挑戰
options,選項
search,搜索
mute,靜音
leave,離開
logout,登出
back_to_game,返回對局
status_short,狀態
title,稱號
rank,等級
name,名稱
country,國籍
rate,分數
waiter,等待玩家
country_short,國籍
thinking_time,時限
handicap,讓子
black,先手
white,後手
rule,規則
status,狀況
monitor,觀戰
opening_short,開局
watch,Watch Game
view_as,View as:
chat,聊天
auto_scroll,自動滾動
resign,認輸
impasse,僵局？
close_game,關閉
check_lobby,檢查大廳
watchers,觀戰者
kifu,棋譜
copy,複製
save,保存
replay,棋譜重演
listen,觀戰
search_panel,搜索界面
kifu_search,棋譜搜索
search,搜索
close_search,關閉
result,勝負
opening,開局
moves,步數
game_date,對局日期
player_search,玩家搜索
win,勝
loss,負
total,合計
percentage_short,勝率
streak_short,連勝數目
signed_up,註冊日期
last_updated,最後更新日期
view_rankings,排行榜
streak,最大連勝數
percentage,勝率
wins,勝利數
total_games,對局數
accept,接受
reject,拒絕
invitation,Invitation
set_autoreply,設定自動訊息
will_be_back_in,離開時間
hours,小時
minutes,分鐘
message,信息
cancel,取消
sound,聲音
blind_piece,盲棋
save_settings,儲存設定
win_small,勝
loss_small,負
current,現在
invite,Invite
ignore,Ignore
rated,計分對局
nonrated,不計分對局
error,Error
