LANGUAGE,Español
loginname,Usuario
password,Contraseña
language,Idioma
server,Servidor
description,Descripción
players,Jugadores
alive,Con vida
save_login_info,Recordar información
login,Entrar
lobby,Salón
refresh,Recargar
wait,Crear partida
stop,Cancelar partida
challenge,Retar
options,Opciones
search,Buscar
mute,Silenciar
leave,Dejar PC
logout,Salir
back_to_game,Volver a la partida
status_short,Estado
title,Título
rank,Rango
name,Nombre
country,País
rate,Puntaje
waiter,En espera
country_short,País
thinking_time,Duración
handicap,Ventaja
black,Negras
white,Blancas
rule,Reglas
game_status,Estatus
monitor,Espec 
opening_short,Apertura
watch,Ver Partida
view_as,Ver como
chat,Chat
auto_scroll,desplazar
resign,Rendirse
impasse,Impasse?
flip,Invertir
close_game,Cerrar
rematch,Revancha
voice,Chat de voz
voice_direct,Análisis de la partida (Directo)
voice_shared,Análisis de la partida (Público)
voice_broadcast,Entrar a la conversación
voice_listen,Escuchar
voice_off,Terminar conexión
status_tip_self,Yo
status_tip_direct,Usando chat de vos DIRECTO en el análisis de la partida
status_tip_shared,Usando chat de voz PÚBLICO en el análisis de la partida
status_tip_broadcast,Transmitiendo
status_tip_listen,Escuchando tu chat de voz
status_tip_host,Anfitrión del modo estudio
clear_arrows,Borrar Flechas
arrow,Flecha
clear,Borrar  
greet,Greet
check_lobby,Ver Salón
stat_m,Monitoreando
stat_w,Esperando
stat_p,Post-parida
stat_g,partida
stat_g1,iniciada
stat_g2,apertura
stat_g3,Juego medio
stat_g4,Juego medio / final del juego
stat_g5,Final del juego
stat_d,Desconectado
watchers,Espectadores
allow_chat,Recibir el chat de los espectadores
kifu,Kifu
copy,Copiar
save,Guardar
replay,Repetición
listen,Seguir la última posición
replay_tip,Repite/analiza la partida en tu PC. Tu tablero no será compartido a menos que seas anfitrión del análisis post-partida.
listen_tip,La última posición será mostrada; El tablero del anfitrión será mostrado en el análisis post-partida. Las flechas también serán compartidas.
search_panel,Pánel de Búsqueda
kifu_search,Buscar Kifu
share,Compartir 
close,Cerrar
result,Resultado
opening,Apertura
moves,Movimientos
game_date,Fecha
player_search,Buscar Jugador
win,victorias
loss,Derrotas
draw,Empates
total,Total
percentage_short,% De victoria
streak_short,Victorias en serie
signed_up,Inscripción
last_updated,Última actualización
view_rankings,Rankings
streak,Mejor serie de victorias
percentage,Porcentaje de victorias
wins,Victorias
total_games,Número de partidas
accept,Aceptar
reject,Rechazar
invitation,Invitación
set_autoreply,Definir mensaje automático
will_be_back_in,Volveré en
hours,Horas
minutes,Minutos
message,Mensaje
cancel,Cancelar
sound,Audio
blind_piece,Juego ciego
op_grab,Arrastra la piezas al mover
op_highlight,Resalta las posiciones válidas
sound,Sonido
sound_piece,sonido de piezas
sound_end,sonido de fin de juego
sound_chat,sonido de chat
sound_byoyomi,sonido de byoyomi
byoyomi_chime,Campana
byoyomi_jp,Japonés
game_room,Sala de juego
pm,Private Mensage
communication,COmunicación
notation,Estilo de notación
notation_uni,Universal
notation_jp,Japonés
notation_west,Occidental
pm_auto,Abrir ventana automáticamente al reibir un mensaje
arrow_accept,Aceptar flechas de otros
arrow_color,Tu color
remove,Quitar
save_settings,Guardar configuración
