LANGUAGE,Deutsch
loginname,Login Name
password,Passwort
registered,Mitglied
guest,Gast
language,Sprache
server,Server
description,Beschreibung
players,Spieler
alive,tätig
save_login_info,Login Daten speichern
login,Login
lobby,Spielsaal
refresh,Aktualisieren
wait,Spiel erstellen
stop,Spiel abbrechen
reject_invitation,Einladung ablehnen
challenge,Herausfordern
options,Optionen
search,Suche
mute,Lautlos
leave,PC verlassen
logout,Ausloggen
back_to_game,Zurück zum Spiel
status_short,Stat
title,Titel
rank,Rang
name,Name
country,Nation
rate,Rating
waiter,Wartend
country_short,Land
thinking_time,Zeit
handicap,Handicap
black,Schwarz
white,Weiß
rule,Regel
game_status,Status
monitor,Beob.
opening_short,Eröff.
watch,Spiel beobachten
view_as,aus Sicht von:
chat,Chat
auto_scroll,Autoscroll
resign,Aufgeben
impasse,Impasse?
flip,Brett drehen
close_game,Schließen
rematch,Revanche
voice,Audio-Chat
voice_direct,Nachspiel Analyse (direct)
voice_shared,Nachspiel Analyse (öffentl.)
voice_broadcast,An Übertragung teilnehmen
voice_listen,Zuhören
voice_off,Verbindung trennen
status_tip_self,Ich
status_tip_direct,Direkter Nachspiel Audio-Chat
status_tip_shared,Öffentlicher Nachspiel Audio-Chat
status_tip_broadcast,Trete Übertragung bei
status_tip_listen,Dem Audio-Chat zuhörend
status_tip_host,Leiter des Analyse-Modus
position_query,Position suchen
query_material,Material Balance Berechnung
query_precedent,Vorangegangenes Spiel Suche
clear_arrows,Pfeile löschen
arrow,Pfeil
clear,Löschen
greet,Grüße
check_lobby,Spielsaal besuchen
check_lobby_tip,Diese Taste ermöglicht, den Spielsaal vorübergehend zu besuchen, ohne den Spielraum zu verlassen. Du bleibst genau genommen in diesem Raum. Die Taste 'Zurück zum Spiel' wird im Spielsaal erscheinen.
stat_m,Beobachtend
stat_w,Wartend
stat_p,Nachspiel
stat_g,Spiel
stat_g1,gestartet
stat_g2,Eröffnung
stat_g3,Mittelspiel
stat_g4,Mitte/Ende
stat_g5,Endspiel
stat_d,Getrennt
watchers,Beobachter
allow_chat,Chat der Beobachter empfangen
kifu,Kifu
copy,Kifu kopieren
save,Kifu speichern
replay,Lokales Nachspl./Analyse
load,Lade KIF/BOD Datei im Lernraum
replay,Lokal erneut spielen / analysieren
listen,Aktueller Position folgen
replay_tip,Du spielst/analysierst auf deinem eigenen PC. Dein Brett wird nicht veröffentlicht, außer wenn du der Leiter im Analyse-Modus bist.
listen_tip,Die letzte Position der beobachtenden Partie wird angezeigt. Das Brett des Spielleiters wird veröffentlicht. Pfeile werden auch veröffentlicht.
search_panel,Suche
kifu_search,Kifu Suche
share,Veröffentlichen
close,Schließen
result,Ergebnis
opening,Eröffnung
moves,Züge
game_date,Datum
player_search,Spielersuche
win,Sieg
loss,Niederlage
draw,Remis
total,Gesamt
percentage_short,% Siege
streak_short,Siegessträhne
signed_up,Registriert
last_updated,Letzte Partie
view_rankings,Wertungszahlen 
streak,Gewinnsträhne
percentage,Prozent
wins,Siege
total_games,Partien gesamt
accept,Annehmen
reject,Ablehnen
reject_reason,mit Grund
decline,Ablehnen
decline_reason,mit Grund
invitation,Einladen
set_autoreply,Automatische Antwort
will_be_back_in,Bin zurück in
hours,Stunden
minutes,Minuten
message,Nachricht
cancel,Abbrechen
pieces,Steine
blind_piece,Blind
op_blind_notify,Benachrichtige bei Blind-Stein Nutzung
op_grab,Stein beim Zug greifen
op_highlight,Zugmöglichkeiten anzeigen
sound,Sound
sound_piece,Stein Sound
sound_end,Spielabschluss Sound
sound_chat,Chat Empfang Sound
sound_byoyomi,Byoyomi Sound
sound_button,Tasten Sound
byoyomi_chime,Glockenspiel
byoyomi_jp,Japanisch
game_room,Spielraum
pm,Private Nachricht
communication,Kommunikation
notation,Bezeichnung
notation_uni,Universal
notation_jp,Japanisch
notation_west,Westlich
pm_auto,Fenster bei Nachricht automatisch öffnen
arrow_accept,Pfeile von anderen akzeptieren
arrow_color,Deine Farbe
remove,Entfernen
past_games,Anzahl vergangener noch zu analysierenden Spiele
study_fitness,Selbsterklärung bezüglich online Nachspiel-Analyse
study_level,Interesse an Nachspiel-Analyse
english_level,Englisch Kenntnis
not_defined,undefiniert
study_level_tip,[Level 0]　Ich mache das nicht online.\n[Level 1]　Ich mache das nicht oft, aber gerne wenn der Mitspieler es möchte.\n[Level 2]　Ich möchte immer eine Nachspiel-Analyse machen wenn der Mitspieler dem zustimmt.
english_level_tip,[Level 0]　Kein Englisch!\n[Level 1]　Mein Englisch ist schlecht, aber ich könnte es ein bisschen versuchen.\n[Level 2]　Ich kann mich ganz gut verständigen (oder sehr gut)
for_premium,Nur für Premium Mitglieder
save_settings,Einstellungen speichern
win_small,Siege
loss_small,Niederl.
current,Aktuell
invite,Einladen
detail,Detail
favorite,Favorit
ignore,Ignorieren
allow,Erlauben
give_host,Spielleiter-Status übergeben
