LANGUAGE,Português
loginname,Nome de usuário
password,Senha
language,Idioma
save_login_info,Salvar informações
login,Concectar
lobby,Sala principal
refresh,Atualizar
wait,Esperar por um jogo
stop,Encerrar espera
challenge,Desafiar
options,Opções
search,Busca
mute,Mudo
leave,Pausa
logout,Desconectar
back_to_game,Voltar ao jogo
status_short,Stat.
title,Título
rank,Rank
name,Nome
country,País
rate,Nível
waiter,Jogador em espera
country_short,País
thinking_time,Tempo
handicap,Handicap
black,Preto
white,Branco
rule,Regra
status,Estado
monitor,Assistir
opening_short,Abert.
watch,Assistir
view_as,Assistir como:
chat,Chat
auto_scroll,Rolagem automática
resign,Resignar
impasse,Impasse?
close_game,Fechar
check_lobby,Olhar sala princ.
watchers,Espectadores
kifu,Kifu
copy,Copiar como .kif
save,Salvar como .kif
replay,Replay
listen,Ouvir
search_panel,Painel de busca
kifu_search,Buscar kifu
search,Buscar
close_search,Fechar
result,Resultado
opening,Abertura
moves,Movimentos
game_date,Data
player_search,Buscar jogadores
win,Vitória
loss,Derrota
total,Total
percentage_short,Vitórias (%)
streak_short,Série
signed_up,Registrado
last_updated,Ultima atualização
view_rankings,Ver rankings
streak,Melhor série
percentage,Percentual de vitórias
wins,Vitórias
total_games,Total de jogos
accept,Aceitar
reject,Recusar
invitation,Invitation
set_autoreply,Mensagem de resposta automática
will_be_back_in,Volto em
hours,horas
minutes,minutos
message,mensagem
cancel,Cancelar
sound,Som
blind_piece,Jogo cego
save_settings,Salvar conf. no servidor
win_small,vitórias
loss_small,derrotas
current,Autal
invite,Invite
ignore,Ignore
rated,Avaliada
nonrated,Não avaliada
error,Error
