LANGUAGE,עברית
loginname,שם משתמש
password,סיסמה
language,שפה
server,שרת
description,תאור
players,שחקנים
alive,פעיל
save_login_info,שמור פרטי כניסה
login,התחבר/י
lobby,חדר ראשי
refresh,רענן
wait,המתן למשחק
stop,הפסק המתנה
challenge,הצע משחק
options,אפשרויות
search,חיפוש
mute,השתק
leave,עזוב מחשב
logout,התנתק/י
back_to_game,חזרה למשחק
status_short,מצב
stat_m,צופה
stat_w,מחכה
stat_p,מנתח
stat_g,משחק
stat_g1,התחיל
stat_g2,פתיחה
stat_g3,אמצע
stat_g4,אמצע/סיום
stat_g5,סיום
stat_d,התנתק
title,תואר
rank,דרגה
name,שם
country,ארץ
rate,דרוג
waiter,שחקן ממתין
country_short,ארץ
thinking_time,זמן
handicap,ייתרון
black,שחור
white,לבן
rule,תנאים
game_status,מצב
monitor,צופים
opening_short,פתיחה
watch,צפה במשחק
view_as,
chat,שיחה
auto_scroll,גלילה אוטומטית
resign,כניעה
impasse,מבוי סתום?
flip,סובב לוח
close_game,יציאה
rematch,משחק נוסף
clear_arrows,
arrow,חץ
clear,נקה
greet,ברך לשלום
check_lobby,בדוק חדר ראשי
watchers,צופים
allow_chat,אפשר שיחה
kifu,רישום משחק
copy,העתק כקובץ KIF
save,שמור כקובץ KIF
replay,שחק/סקור
listen,עקוב/הקשב
search_panel,חלון חיפוש
kifu_search,חיפוש משחק
share,שתף משחק
close,סגור
result,תוצאה
opening,פתיחה
moves,מהלכים
game_date,תאריך
player_search,חיפוש שחקן
win,נצחונות
loss,הפסדים
draw,תיקו
total,סך הכל
percentage_short,%-נצחונות
streak_short,רצף
signed_up,הצטרף
last_updated,עודכן
view_rankings,דרוג
streak,הרצף הארוך ביותר
percentage,%-נצחונות
wins,נצחונות
total_games,כמות משחקים
accept,קבל
reject,דחה
invitation,הזמנה
set_autoreply,קבע תגובה אוטומטית
will_be_back_in,אחזור עוד
hours,שעות
minutes,דקות
message,הודעה
cancel,ביטול
pieces,כלים
blind_piece,כלים בלתי נראים
op_grab,החזק כלי בזמן מהלך
op_highlight,סמן מהלכים אפשריים עם כלי
sound,קול
sound_piece,קול לכלים
sound_end,התראת סוף משחק
sound_chat,התראת קבלת הודעה
sound_byoyomi,התראת ביו יומי
byoyomi_chime,צלצול
byoyomi_jp,יפנית
game_room,חדר משחק
pm,הודעה פרטית
communication,תקשורת
notation,סגנון רישום
notation_uni,אוניברסלי
notation_jp,יפני
notation_west,מערבי
pm_auto,פתח חלון אוטומטית עם קבלת הודעה
arrow_accept,קבל חצים מאחרים
arrow_color,הצבע שלך
remove,הסר
save_settings,שמור הגדרות בשרת
win_small,נצחונות
loss_small,הפסדים
current,נוכחי
invite,
detail,פרטים
favorite,מועדף
ignore,חסום
allow,הענק זכויות מצב סקירה
give_host,העבר זכויות אחראי-סקירה
give_subhost,אפשר מצב תת-אחראי סקירה
set_rate,קבע דרגה
rated,מדורג
nonrated,לא מדורג
min,דקות
sec,שניות
hc_even,משחק שווה
hc_fixed,קבוע-שחור
hc_lance,רומח
hc_bishop,רץ
hc_rook,צריח
hc_rooklance,צריח-רומח
hc_rooksilver,צריח-כסף
hc_2p,2 כלים
hc_4p,4 כלים
hc_6p,6 כלים
hc_8p,8 כלים
hc_tombo,שפירית
hc_10p,10 כלים
hc_3pawns,3 חיילים
hc_naked,מלך בודד
hc_openair,
hc_mini,מיני שוגי
hc_56,
hc_33,שוגי 3x3
tournament,תחרות רשמית
study_room,חדר לימוד
load_kifu,טען
comment,הערה
declare,הכרז נצחון
entered_impasse,מלך נכנס
pieces_impasse,כלים
points_impasse,נקודות
error,שגיאה
tendency,העדפות
rate_history,גרף דרגה
data_table,טבלת מידע
status,מצב
msg_newlogin,\n- לחץ לחיצה כפולה על שמות משתמשים על מנת לראות מידע משתמש. \n- לחיצה כפולה על משחקים על מנת לצפות. \n- שחק 5 משחקים מדורגים ודרוגך ייקבע.
msg_host,אתה המנהל של מצב הלימוד/ניתוח. הלוח משותף
msg_subhost,אתה תת-מנהל של מצב הלימוד/ניתוח. ביכולתך להזיז את הכלים.
msg_subhost_given,הוענקה לך גישה של תת-מנהל מצב הלימוד/ניתוח. ביכולתך להזיז את הכלים.
msg_study_notify,העמדה המנותחת השתנתה. חזור למצב "עקוב/הקשב" על מנת להתעדכן.
msg_rated,משחק זה הוא מדורג. \nהשחקנים לא יכולים לראות את השיחה בין הצופים עד סיום המשחק. \nצופים יכולים לשלוח הודעות פרטיות לשחקנים, אבל תישלח הודעה על כך לאחרים.
msg_nonrated,משחק זה הוא לא מדורג. \nהשחקנים יכולים לראות את כל השיחה גם במהלך המשחק.
msg_disconnecct,היריב התנתק
msg_illegal,מהלך לא חוקי
msg_perpetual,שח נצחי לא חוקי
msg_repetition,חזרה על אותו המצב
msg_lag,הטיימר שלך מפגר ביותר מ-5 שניות עקב עומס על המעבד. הפסד על זמן ייתכן לפני שהטיימר מגיע ל-0.
msg_disconnect_alert1,ניתן להכריז על נצחון לאחר 30 שניות, או להמשיך לחכות.
msg_disconnect_alert2,ההכרזה מתבצעת אוטומטית לאחר 300 שניות.
msg_addlist,הוסף לרשימה באופן זמני. על מנת להפוך שינוי זה לקבוע או לבטלו - עבור לתפריט "אפשרויות"
