LANGUAGE,Česky
loginname,Přezdívka
password,Heslo
language,Jazyk
server,Server
save_login_info,Zapamatovat přihlašovací údaje
login,Přihlásit
lobby,Hlavní místnost
refresh,Obnovit
wait,Čekat na hru
stop,Ukončit čekání
challenge,Vyzvat
options,Možnosti
search,Vyhledávání
mute,Ztlumit
leave,Přestávka
logout,Odhlásit
back_to_game,Zpět do hry
status_short,Stav
title,Titul
rank,Třída
name,Jméno
country,Země
rate,Hodnocení
waiter,Čekající hráč
country_short,Země
thinking_time,Čas
handicap,Handicap
black,Černý
white,Bílý
rule,Pravidla
status,Stav
monitor,Div.
opening_short,Zah.
watch,Sledovat hru
view_as,Zobrazit jako:
chat,Chat
auto_scroll,Autoscroll
resign,Vzdát se
impasse,Impasse?
flip,Vyměnit strany
close_game,Zavřít
rematch,Odveta
clear_arrows,Vymazat šipky
greet,Pozdrav
check_lobby,Hlavní místnost
watchers,Diváci
kifu,Záznam partie
copy,Kopírovat KIF do schránky
save,Uložit KIF
replay,Přehrát
listen,Sledovat hru
search_panel,Vyhledávací panel
kifu_search,Vyhledávání partie
search,Vyhledávání
share,Sdílet
close_search,Zavřít
result,Výsledek
opening,Zahájení
moves,Tahy
game_date,Datum
player_search,Vyhledávání hráče
win,Výhry
loss,Prohry
total,Celkem
percentage_short,% výher
streak_short,Vítězná řada
signed_up,Zaregistrován
last_updated,Poslední aktualizace
view_rankings,Zobrazit třídy
streak,Nejdelší vítězná řada
percentage,% výher
wins,Výher
total_games,Celkem her
accept,Přijmout
reject,Odmítnout
invitation,Pozvání
set_autoreply,Nastavit automatickou odpověď
will_be_back_in,Vrátím se za
hours,hodin(y)
minutes,minut(y)
message,zpráva
cancel,Zrušit
sound,Zvuk
blind_piece,Hra naslepo
save_settings,Uložit nastavení na server
win_small,výher
loss_small,proher
current,Nyní
invite,Pozvat
favorite,Favorit
ignore,Blokovat
rated,Hodnocená
nonrated,Nehodnocená
declare,Kontumační výhra
error,Chyba
