LANGUAGE,简体中文
loginname,登入名称
password,密码
language,语言
save_login_info,保存登陆
login,登陆
lobby,大厅
refresh,更新
wait,等待对局
stop,停止等待
challenge,挑战
options,选项
search,搜索
mute,静音
leave,离开
logout,登出
back_to_game,返回对局
status_short,状态
title,称号
rank,级别
name,名称
country,国籍
rate,分数
waiter,等待玩家
country_short,国籍
thinking_time,时限
handicap,让子
black,先手（黑）
white,后手（白）
rule,规则
status,状态
monitor,观战
opening_short,开局
watch,观战
view_as,观战选择
chat,聊天
auto_scroll,自动滚轴
resign,认输
impasse,僵局？
close_game,关闭
check_lobby,检查大厅
watchers,观战者
kifu,棋谱
copy,复制KIF
save,保存
replay,棋谱重演
listen,观战
search_panel,搜索界面
kifu_search,棋谱搜索
search,检索
close_search,关闭
result,胜负
opening,开局
moves,步数
game_date,战局日期
player_search,玩家搜索
win,胜
loss,负
total,统计
percentage_short,胜率
streak_short,连胜数
signed_up,注册日期
last_updated,最后更新日期
view_rankings,排行榜
streak,最大连胜数
percentage,胜率
wins,胜利数
total_games,对局数
accept,接受
reject,拒绝
invitation,Invitation
set_autoreply,设定自动讯息
will_be_back_in,离开时间
hours,小时
minutes,分钟
message,讯息
cancel,取消
sound,声音
blind_piece,盲棋
save_settings,保存设定
win_small,胜
loss_small,负
current,现在
invite,Invite
ignore,Ignore
rated,计分对局
nonrated,不计分对局
error,Error
